tag,tag_freq,,,,,,,
c#,15285,,15285,1,1,,Count,Freq
java,13488,,13488,1,1,,1,15285
php,12805,,12805,1,1,,1,13488
javascript,12038,,12038,1,1,,1,12805
android,10498,,10498,1,1,,1,12038
jquery,9798,,9798,1,1,,1,10498
c++,6633,,6633,1,1,,1,9798
python,6167,,6167,1,1,,1,6633
iphone,6042,,6042,1,1,,1,6167
asp@@@net,5765,,5765,1,1,,1,6042
mysql,5511,,5511,1,1,,1,5765
html,5370,,5370,1,1,,1,5511
@@@net,5351,,5351,1,1,,1,5370
ios,4548,,4548,1,1,,1,5351
objective-c,4464,,4464,1,1,,1,4548
sql,4328,,4328,1,1,,1,4464
css,4216,,4216,1,1,,1,4328
linux,4160,,4160,1,1,,1,4216
ruby-on-rails,3889,,3889,1,1,,1,4160
c,3203,,3203,1,1,,1,3889
windows,3164,,3164,1,1,,1,3203
sql-server,2480,,2480,1,1,,1,3164
ruby,2360,,2360,1,1,,1,2480
wpf,2159,,2159,1,1,,1,2360
xml,2085,,2085,1,1,,1,2159
ajax,1994,,1994,1,1,,1,2085
database,1960,,1960,1,1,,1,1994
windows-7,1949,,1949,1,1,,1,1960
asp@@@net-mvc,1886,,1886,1,1,,1,1949
regex,1885,,1885,1,1,,1,1886
osx,1716,,1716,1,1,,1,1885
xcode,1708,,1708,1,1,,1,1716
django,1659,,1659,1,1,,1,1708
arrays,1641,,1641,1,1,,1,1659
vb@@@net,1519,,1519,1,1,,1,1641
eclipse,1450,,1450,1,1,,1,1519
facebook,1437,,1437,1,1,,1,1450
ruby-on-rails-3,1414,,1414,1,1,,1,1437
json,1403,,1403,1,1,,1,1414
ubuntu,1378,,1378,1,1,,1,1403
performance,1292,,1292,1,1,,1,1378
networking,1256,,1256,1,1,,1,1292
multithreading,1223,,1223,1,1,,1,1256
winforms,1222,,1222,1,1,,1,1223
string,1201,,1201,1,1,,1,1222
asp@@@net-mvc-3,1153,,1153,1,1,,1,1201
visual-studio-2010,1143,,1143,1,1,,1,1153
wcf,1096,,1096,1,1,,1,1143
security,1093,,1093,1,1,,1,1096
homework,1074,,1074,1,1,,1,1093
bash,1055,,1055,1,1,,1,1074
wordpress,1044,,1044,1,1,,1,1055
html5,1040,,1040,1,1,,1,1044
image,1028,,1028,1,1,,1,1040
web-services,1006,,1006,1,1,,1,1028
visual-studio,1003,,1003,1,1,,1,1006
linq,980,,980,1,1,,1,1003
algorithm,976,,976,1,2,,1,980
sql-server-2008,976,,976,1,2,,2,976
git,966,,966,1,1,,1,966
oracle,961,,961,1,1,,1,961
forms,958,,958,1,1,,1,958
perl,932,,932,1,1,,1,932
actionscript-3,920,,920,1,1,,1,920
query,911,,911,1,1,,1,911
ipad,907,,907,1,1,,1,907
silverlight,903,,903,1,1,,1,903
email,901,,901,1,1,,1,901
spring,888,,888,1,1,,1,888
flash,887,,887,1,1,,1,887
cocoa,886,,886,1,1,,1,886
apache,881,,881,1,1,,1,881
apache2,872,,872,1,1,,1,872
hibernate,852,,852,1,1,,1,852
r,850,,850,1,1,,1,850
cocoa-touch,830,,830,1,1,,1,830
swing,825,,825,1,1,,1,825
entity-framework,804,,804,1,1,,1,804
excel,789,,789,1,1,,1,789
file,769,,769,1,1,,1,769
api,741,,741,1,1,,1,741
shell,733,,733,1,1,,1,733
sqlite,728,,728,1,1,,1,728
jquery-ui,706,,706,1,1,,1,706
list,702,,702,1,2,,2,702
tsql,702,,702,1,2,,1,696
flex,696,,696,1,1,,1,692
delphi,692,,692,1,1,,1,684
@@@htaccess,684,,684,1,1,,1,670
node@@@js,670,,670,1,1,,1,668
debugging,668,,668,1,1,,1,667
firefox,667,,667,1,1,,1,665
windows-xp,665,,665,1,1,,1,661
internet-explorer,661,,661,1,1,,1,657
qt,657,,657,1,1,,1,645
http,645,,645,1,1,,1,644
unit-testing,644,,644,1,1,,1,635
unix,635,,635,1,1,,2,631
svn,631,,631,1,2,,1,625
google-chrome,631,,631,1,2,,1,622
postgresql,625,,625,1,1,,1,616
iis,622,,622,1,1,,1,612
codeigniter,616,,616,1,1,,1,603
windows-phone-7,612,,612,1,1,,1,602
google-app-engine,603,,603,1,1,,2,597
matlab,602,,602,1,1,,1,595
oop,597,,597,1,2,,1,593
sql-server-2005,597,,597,1,2,,1,584
command-line,595,,595,1,1,,1,576
ssh,593,,593,1,1,,1,575
class,584,,584,1,1,,1,572
sockets,576,,576,1,1,,1,571
validation,575,,575,1,1,,1,548
